Performance1,,,,,,Performance2,,,,,,Performance3
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 88,,,,,,Run 88,,,,,,Run 88
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 89,,,,,,Run 89,,,,,,Run 89
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 90,,,,,,Run 90,,,,,,Run 90
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 91,,,,,,Run 91,,,,,,Run 91
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 92,,,,,,Run 92,,,,,,Run 92
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 93,,,,,,Run 93,,,,,,Run 93
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 94,,,,,,Run 94,,,,,,Run 94
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 95,,,,,,Run 95,,,,,,Run 95
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 96,,,,,,Run 96,,,,,,Run 96
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 97,,,,,,Run 97,,,,,,Run 97
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 98,,,,,,Run 98,,,,,,Run 98
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379,,,,,,Iteration 2: SSE = 6820.379
Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736,,,,,,Iteration 3: SSE = 5889.736
Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194,,,,,,Iteration 4: SSE = 5614.194
Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947,,,,,,Iteration 5: SSE = 5490.947
Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64,,,,,,Iteration 6: SSE = 5399.64
Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025,,,,,,Iteration 7: SSE = 5338.025
Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276,,,,,,Iteration 8: SSE = 5291.276
Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393,,,,,,Iteration 9: SSE = 5240.393
Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253,,,,,,Iteration 10: SSE = 5166.253
Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049,,,,,,Iteration 11: SSE = 5092.049
Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907,,,,,,Iteration 12: SSE = 5019.907
Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944,,,,,,Iteration 13: SSE = 4935.944
Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154,,,,,,Iteration 14: SSE = 4864.154
Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738,,,,,,Iteration 15: SSE = 4822.738
Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252,,,,,,Iteration 16: SSE = 4801.252
Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766,,,,,,Iteration 17: SSE = 4791.766
Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177,,,,,,Iteration 18: SSE = 4786.177
Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722,,,,,,Iteration 19: SSE = 4783.722
,,,,,,,,,,,,
Run 99,,,,,,Run 99,,,,,,Run 99
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114,,,,,,Iteration 1: SSE = 8107.114
